2018-06-22 17:34:10.167 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 17:34:11.001 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 17:34:11.002 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 17:34:11.028 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 17:34:11.028 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 17:34:11.029 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 17:34:11.030 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622173411_patchInfo.xlsx
2018-06-22 17:34:11.532 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - 送测清单生成失败！
2018-06-22 17:34:11.533 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始TELLER抽取增量判断...
2018-06-22 17:34:11.534 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - fileFullName:nullpatchInfoFile/RUNALL/app_20180622.txt
2018-06-22 17:34:11.535 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - 解析后清单数目: 1
2018-06-22 17:34:11.536 [main] INFO  com.dcits.patchtools.svn.util.FileUtil - nullpatchInfoFile\RUNALL\app_20180622.txt (系统找不到指定的路径。) : null
2018-06-22 17:48:46.133 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 17:48:54.957 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 17:51:24.409 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 17:51:24.464 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 17:51:24.465 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 17:51:24.466 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 17:51:24.468 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622175124_patchInfo.xlsx
2018-06-22 18:00:23.353 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 18:03:42.992 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 18:03:51.073 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 18:03:51.128 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 18:03:51.128 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 18:03:51.129 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 18:03:51.131 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622180351_patchInfo.xlsx
2018-06-22 18:03:58.621 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
